date,no_words,een_jaar_geleden,twee_jaar_geleden,drie_jaar_geleden,vier_jaar_geleden,vijf_jaar_geleden,zes_jaar_geleden,zeven_jaar_geleden,acht_jaar_geleden,negen_jaar_geleden,tien_jaar_geleden,honderd_jaar_geleden
1972,21062009,1.8041963613252658e-06,4.273096645244051e-06,1.8516752129390886e-06,1.3768866968008607e-06,1.2344501419593924e-06,9.020981806626329e-07,6.64703922593519e-07,3.323519612967595e-07,2.3739425806911392e-07,2.658815690374076e-06,3.798308129105823e-07
1973,21735366,2.1163664784848805e-06,4.002693122351839e-06,1.8863266438669586e-06,9.201593384716871e-07,1.3342310407839464e-06,3.6806373538867486e-07,4.6007966923584356e-07,3.220557684650905e-07,9.201593384716871e-08,3.1285417508037363e-06,2.7604780154150616e-07
1974,21137904,2.4127273924604823e-06,3.5481285183242386e-06,1.7504100690399577e-06,1.6084849283069883e-06,1.1354011258637565e-06,6.623173234205246e-07,3.7846704195458547e-07,5.677005629318782e-07,4.2577542219890865e-07,2.7911944344150677e-06,1.4192514073296956e-07
1975,20627867,2.472383596423227e-06,4.556942314976144e-06,1.7936900601501843e-06,1.5512995114812404e-06,1.8906462796177617e-06,5.817373168054651e-07,6.30215426539254e-07,5.817373168054651e-07,3.878248778703101e-07,2.908686584027326e-06,4.3630298760409886e-07
1976,21232723,2.8729240239228857e-06,4.144546132872359e-06,1.6013019149734115e-06,2.1193701815824564e-06,1.0361365332180898e-06,9.419423029255362e-07,3.296798060239377e-07,4.709711514627681e-07,4.709711514627681e-07,3.532283635970761e-06,5.180682666090449e-07
1977,21477490,2.653941405629801e-06,4.562916802661764e-06,2.840182907779261e-06,1.5364923927330428e-06,1.350250890583583e-06,7.449660085978389e-07,4.190433798362844e-07,4.656037553736493e-07,9.312075107472987e-08,3.538588540839735e-06,3.2592262876155456e-07
1978,21816014,3.025300588824338e-06,3.5295173536283943e-06,2.6585974871486608e-06,2.7044353748581203e-06,1.3751366312837899e-06,5.042167648040563e-07,3.6670310167567733e-07,4.5837887709459665e-07,3.2086521396621767e-07,2.841949037986499e-06,7.334062033513547e-07
1979,22002120,2.7270099426782512e-06,4.817717565398243e-06,2.1361577884312966e-06,1.8634567941634714e-06,1.0453538113599962e-06,2.727009942678251e-07,5.908521542469544e-07,6.817524856695628e-07,9.090033142260837e-08,2.7724601083895554e-06,8.181029828034753e-07
1980,20676231,2.66005927289166e-06,4.014271266363778e-06,2.369870988576206e-06,1.596035563734996e-06,1.4025767075246935e-06,9.189295669989371e-07,3.869177124206051e-07,5.803765686309076e-07,4.836471405257563e-07,3.288800555575143e-06,3.869177124206051e-07
1981,20486080,2.8311907402489887e-06,4.881363345256877e-06,2.489495306081007e-06,1.3179681032193567e-06,1.5620362704822005e-06,5.857636014308253e-07,7.322045017885315e-07,2.9288180071541263e-07,1.4644090035770632e-07,4.100345210015777e-06,6.34577234883394e-07
1982,21431127,2.4730383987738955e-06,4.759432390093157e-06,1.8197829726826778e-06,2.5663606025012124e-06,1.3998330559097522e-06,8.398998335458514e-07,1.8664440745463364e-07,3.2662771304560883e-07,1.3998330559097522e-07,3.0329716211377965e-06,4.6661101863658407e-07
1983,21135223,1.987204014833437e-06,3.785150504444642e-06,2.034518396138995e-06,1.4194314391667407e-06,1.987204014833437e-06,7.097157195833703e-07,7.097157195833703e-07,6.624013382778124e-07,4.7314381305558027e-07,3.690521741833526e-06,5.677725756666963e-07
1984,23306824,2.445635664473203e-06,5.234518439749663e-06,2.5314474421740174e-06,3.003412219528495e-06,1.2871766655122121e-06,6.435883327561061e-07,4.719647773544778e-07,7.723059993073273e-07,4.2905888850407074e-08,3.561188774583787e-06,3.0034122195284953e-07
1985,23037111,2.4742685834174257e-06,4.861720725311434e-06,2.0401863758003337e-06,8.681644152341845e-07,1.519287726659823e-06,6.077150906639292e-07,9.54980856757603e-07,6.511233114256384e-07,5.208986491405107e-07,4.297413855409213e-06,5.6430686990222e-07
1986,23241939,2.968771237201853e-06,5.2921574228380856e-06,2.6245658763668556e-06,1.6349754639662379e-06,1.6780011340706126e-06,9.895904124006178e-07,5.593337113568708e-07,4.732823711481215e-07,3.4420536083499744e-07,3.3560022681412253e-06,6.453850515656202e-07
1987,23764790,2.3985063617225315e-06,5.091566136288181e-06,2.2722691847897666e-06,1.2623717693276482e-06,1.4306880052380014e-06,6.311858846638241e-07,4.62869648753471e-07,5.891068256862358e-07,2.1039529488794136e-07,3.913352484915709e-06,5.470277667086475e-07
1988,12407867,2.1760387986105912e-06,5.399799981737393e-06,3.1431671535486317e-06,3.949107449330332e-06,9.671283549380405e-07,1.1283164140943805e-06,7.253462662035303e-07,1.4506925324070607e-06,8.059402957817004e-08,4.9162358042683726e-06,5.641582070471903e-07
1989,11460403,3.228507758409543e-06,4.53736225506206e-06,1.5706253959830209e-06,7.853126979915104e-07,2.0069102282005266e-06,5.23541798661007e-07,4.3628483221750577e-07,6.980557315480092e-07,2.617708993305035e-07,3.1412507919660417e-06,3.490278657740046e-07
