jaar,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980
knaap jaar geleden,,,,1.0,,,,,,
dezedagen jaar geleden,,,,1.0,,,,,,
vijfentwlntlg jaar geleden,,,,1.0,,,,,,
neren jaar geleden,,,,1.0,,,,1.0,,
rende jaar geleden,,,,1.0,,,,,,
4cm jaar geleden,,,,1.0,,,,,,
veer jaar geleden,,,,1.0,,,,,,
hir jaar geleden,,,,1.0,,,,,,
want jaar geleden,,,,1.0,,,,2.0,3.0,2.0
komst jaar geleden,,,,1.0,,,,,,
pas jaar geleden,,,,1.0,,,2.0,2.0,2.0,2.0
olland jaar geleden,,,,1.0,,,,,,
schuitmakerdertig jaar geleden,,,,1.0,,,,,,
drieduizend jaar geleden,,,,1.0,1.0,,,,2.0,2.0
zaterdag jaar geleden,,,,1.0,,,,,1.0,
dezer jaar geleden,,,,1.0,1.0,,,,,
gemeld jaar geleden,,,,1.0,,,,,,
een halfjaar geleden,,,,1.0,10.0,6.0,4.0,8.0,17.0,9.0
componist jaar geleden,,,,1.0,,,,,,
tóen jaar geleden,,,,1.0,,,,,,
minstens jaar geleden,,,,1.0,,,,,,
271 jaar geleden,,,,1.0,,,,,,
kijken jaar geleden,,,,1.0,,,,,,1.0
alf jaar geleden,,,,1.0,,,,,,
besloeg jaar geleden,,,,1.0,,,,,,
honderdvijftig jaar geleden,,,,,4.0,,1.0,,,5.0
precies jaar geleden,,,,,4.0,1.0,8.0,11.0,23.0,20.0
350 jaar geleden,,,,,4.0,,2.0,2.0,10.0,5.0
250 jaar geleden,,,,,3.0,,1.0,,2.0,3.0
tweeduizend jaar geleden,,,,,2.0,,,1.0,3.0,7.0
doch jaar geleden,,,,,2.0,,,,,
1500 jaar geleden,,,,,2.0,,,,4.0,
het voorjaar geleden,,,,,2.0,1.0,,,,
700 jaar geleden,,,,,2.0,,,3.0,1.0,1.0
vandaag jaar geleden,,,,,2.0,1.0,1.0,1.0,1.0,2.0
drieënveertig jaar geleden,,,,,2.0,,,2.0,,
330 jaar geleden,,,,,2.0,,1.0,1.0,1.0,
zoo jaar geleden,,,,,2.0,,,,,
vau jaar geleden,,,,,2.0,,,,,
hier jaar geleden,,,,,2.0,,,,2.0,2.0
vierduizend jaar geleden,,,,,2.0,,2.0,,,2.0
oprichting jaar geleden,,,,,2.0,,,1.0,3.0,3.0
vijftlz jaar geleden,,,,,1.0,,,,,
100000 jaar geleden,,,,,1.0,,,,,1.0
waarmede jaar geleden,,,,,1.0,,,,,
1416 jaar geleden,,,,,1.0,,,,,
bij dragenjaar geleden,,,,,1.0,,,,,
1009 jaar geleden,,,,,1.0,,,,,
450 jaar geleden,,,,,1.0,,,2.0,2.0,5.0
ion jaar geleden,,,,,1.0,,,,,
emigraulavaaaen jaar geleden,,,,,1.0,,,,,
twco jaar geleden,,,,,1.0,,,,,
negentien jaar geleden,,,,,1.0,1.0,1.0,3.0,7.0,7.0
sedert jaar geleden,,,,,1.0,,,1.0,,
nou jaar geleden,,,,,1.0,,,,,
